name,bytes,put_sec,get_sec,sha256_ok
text-small.txt,1536,2.6703718951903284,2.6888469541445374,True
zeros-1m.bin,1048576,2.767374709248543,2.8067792397923768,True
pattern-2m.bin,2097152,2.9956335150636733,2.7842345000244677,True
random-1m.bin,1048576,3.1920788707211614,3.1545972460880876,True
